name,type,category,rating,price,address,review_score,link,source
Arbaminch Asa Resturant - አርባ ምንጭ አሳ ቤት,restaurants,ከውስጥ መመገብ,4.1(193),,,,https://www.google.com/maps/place/Arbaminch+Asa+Resturant+-+%E1%8A%A0%E1%88%AD%E1%89%A3+%E1%88%9D%E1%8A%95%E1%8C%AD+%E1%8A%A0%E1%88%B3+%E1%89%A4%E1%89%B5/data=!4m7!3m6!1s0x164b8436d3f1223d:0x7f5f514023c417c4!8m2!3d8.99283!4d38.7527892!16s%2Fg%2F11fxb90j92!19sChIJPSLx0zaESxYRxBfEI0BRX38?authuser=0&hl=am&rclk=1,Google Maps
Adis Bar & Restaurant,restaurants,ከውስጥ መመገብ,4.6(10),,,,https://www.google.com/maps/place/Adis+Bar+%26+Restaurant/data=!4m7!3m6!1s0x17babd9fac5717cd:0xef613c8a76649989!8m2!3d6.0357436!4d37.558076!16s%2Fg%2F11kpstwdgd!19sChIJzRdXrJ-9uhcRiZlkdoo8Ye8?authuser=0&hl=am&rclk=1,Google Maps
Bro's እርጥብ,restaurants,ምግብ ቤት · የአርባ ምንጭ ዩኒቨርሲቲ,4.7(10),,,,https://www.google.com/maps/place/Bro%27s+%E1%8A%A5%E1%88%AD%E1%8C%A5%E1%89%A5/data=!4m7!3m6!1s0x17baa321ecd37bd3:0x18d7f70a8a587359!8m2!3d6.0673567!4d37.5635702!16s%2Fg%2F11m5y0gll4!19sChIJ03vT7CGjuhcRWXNYigr31xg?authuser=0&hl=am&rclk=1,Google Maps
Mamush & Mamy Fresh Fish,restaurants,ከውስጥ መመገብ,4.3(37),,,,https://www.google.com/maps/place/Mamush+%26+Mamy+Fresh+Fish/data=!4m7!3m6!1s0x17babb340472840d:0x2c74208ad3671b72!8m2!3d6.0347102!4d37.5531119!16s%2Fg%2F11fs8s17nk!19sChIJDYRyBDS7uhcRchtn04ogdCw?authuser=0&hl=am&rclk=1,Google Maps
Dubusha Bar and Restaurant,restaurants,ከውስጥ መመገብ,5.0(1),,,,https://www.google.com/maps/place/Dubusha+Bar+and+Restaurant/data=!4m7!3m6!1s0x17babd2af8b5dc9d:0x95cc95c7bda134c9!8m2!3d6.026241!4d37.5555999!16s%2Fg%2F11tcgq6db6!19sChIJndy1-Cq9uhcRyTShvceVzJU?authuser=0&hl=am&rclk=1,Google Maps
Bobo Juice & Food,restaurants,"የጃማይካ · Secha, road",4.9(46),,,,https://www.google.com/maps/place/Bobo+Juice+%26+Food/data=!4m7!3m6!1s0x17babb006e1006b3:0xc6d4ad83bf413a02!8m2!3d6.0121114!4d37.5407915!16s%2Fg%2F11vsypj813!19sChIJswYQbgC7uhcRAjpBv4Ot1MY?authuser=0&hl=am&rclk=1,Google Maps
Seluke Asa,restaurants,ተይዞ የሚኬድ,4.8(4),,,,https://www.google.com/maps/place/Seluke+Asa/data=!4m7!3m6!1s0x17babbf6c8caf9dd:0xf122d081da96a637!8m2!3d6.0117193!4d37.541409!16s%2Fg%2F11ksbbpxsx!19sChIJ3fnKyPa7uhcRN6aW2oHQIvE?authuser=0&hl=am&rclk=1,Google Maps
አምዩ ዋናው ግቢ ላውንጅ,restaurants,ከውስጥ መመገብ,5.0(2),,,,https://www.google.com/maps/place/%E1%8A%A0%E1%88%9D%E1%8B%A9+%E1%8B%8B%E1%8A%93%E1%8B%8D+%E1%8C%8D%E1%89%A2+%E1%88%8B%E1%8B%8D%E1%8A%95%E1%8C%85/data=!4m7!3m6!1s0x17baa36725320bf7:0x949ce304fe15cfe3!8m2!3d6.0658855!4d37.5595722!16s%2Fg%2F1tm1mv52!19sChIJ9wsyJWejuhcR488V_gTjnJQ?authuser=0&hl=am&rclk=1,Google Maps
Soma Restaurant,restaurants,ከውስጥ መመገብ,3.7(20),,,,https://www.google.com/maps/place/Soma+Restaurant/data=!4m7!3m6!1s0x17babb9b8e9c52db:0xc8186172a97f94c4!8m2!3d6.0092666!4d37.5390883!16s%2Fg%2F1thjr4sc!19sChIJ21Kcjpu7uhcRxJR_qXJhGMg?authuser=0&hl=am&rclk=1,Google Maps
ሉሲ ባር እና ሬስቶራንት,restaurants,ከውስጥ መመገብ,3.9(14),,,,https://www.google.com/maps/place/%E1%88%89%E1%88%B2+%E1%89%A3%E1%88%AD+%E1%8A%A5%E1%8A%93+%E1%88%AC%E1%88%B5%E1%89%B6%E1%88%AB%E1%8A%95%E1%89%B5/data=!4m7!3m6!1s0x17babb628904c5a3:0x1b4653c9003e9324!8m2!3d6.023525!4d37.5525922!16s%2Fg%2F11ddxsm9qw!19sChIJo8UEiWK7uhcRJJM-AMlTRhs?authuser=0&hl=am&rclk=1,Google Maps
BaZol cafe & restaurant,restaurants,ምግብ ቤት · ,3.0(2),,,,https://www.google.com/maps/place/BaZol+cafe+%26+restaurant/data=!4m7!3m6!1s0x17babdc26b7d2fa7:0x545da1819becb5c0!8m2!3d6.0346857!4d37.5570346!16s%2Fg%2F11tjpt32_l!19sChIJpy99a8K9uhcRwLXsm4GhXVQ?authuser=0&hl=am&rclk=1,Google Maps
Time Fish and Goat,restaurants,ተይዞ የሚኬድ,5.0(3),,,,https://www.google.com/maps/place/Time+Fish+and+Goat/data=!4m7!3m6!1s0x17babb34a999c511:0xf51ad857d5b3c396!8m2!3d6.0095123!4d37.5403335!16s%2Fg%2F11ks1bml_m!19sChIJEcWZqTS7uhcRlsOz1VfYGvU?authuser=0&hl=am&rclk=1,Google Maps
Mamush Asa,restaurants,restaurants,4.4(8),,,,https://www.google.com/maps/place/Mamush+Asa/data=!4m7!3m6!1s0x17babb0cddde12c3:0xd5b6828ecdc2b4ed!8m2!3d6.034748!4d37.553118!16s%2Fg%2F11j4v96_hk!19sChIJwxLe3Qy7uhcR7bTCzY6CttU?authuser=0&hl=am&rclk=1,Google Maps
JEBM Cafe & Restaurant,restaurants,ከውስጥ መመገብ,3.2(9),,,,https://www.google.com/maps/place/JEBM+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x17babb90b37382c9:0x9330a1b86c4703ba!8m2!3d6.0047642!4d37.5375825!16s%2Fg%2F11c75xt9s1!19sChIJyYJzs5C7uhcRugNHbLihMJM?authuser=0&hl=am&rclk=1,Google Maps
Hano Coffee Bar,restaurants,ከውስጥ መመገብ,5.0(1),,,,https://www.google.com/maps/place/Hano+Coffee+Bar/data=!4m7!3m6!1s0x17babd075426bc7d:0x6530d5ad0993ffbc!8m2!3d6.0338821!4d37.557203!16s%2Fg%2F11m_fvggqx!19sChIJfbwmVAe9uhcRvP-TCa3VMGU?authuser=0&hl=am&rclk=1,Google Maps
Peter's Fast Food,restaurants,ተይዞ የሚኬድ,5.0(2),,,,https://www.google.com/maps/place/Peter%27s+Fast+Food/data=!4m7!3m6!1s0x17babd035fdb5dd1:0x37708aabe98e1b36!8m2!3d6.0356081!4d37.562855!16s%2Fg%2F11trm7yz5d!19sChIJ0V3bXwO9uhcRNhuO6auKcDc?authuser=0&hl=am&rclk=1,Google Maps
One Burger,restaurants,ከውስጥ መመገብ,4.8(6),,,,https://www.google.com/maps/place/One+Burger/data=!4m7!3m6!1s0x17babb0cecbb6149:0x8edb9080ed5d4587!8m2!3d6.0230842!4d37.5529737!16s%2Fg%2F11sqtrvd5t!19sChIJSWG77Ay7uhcRh0Vd7YCQ244?authuser=0&hl=am&rclk=1,Google Maps
C2 restuarant,restaurants,ከውስጥ መመገብ,5.0(3),,,,https://www.google.com/maps/place/C2+restuarant/data=!4m7!3m6!1s0x17babb09c9dfb939:0x35a49700cedaa044!8m2!3d6.026231!4d37.5517647!16s%2Fg%2F11h5dm6kvv!19sChIJObnfyQm7uhcRRKDazgCXpDU?authuser=0&hl=am&rclk=1,Google Maps
Lenbo Food processing Association,restaurants,ተይዞ የሚኬድ,5.0(1),,,,https://www.google.com/maps/place/Lenbo+Food+processing+Association/data=!4m7!3m6!1s0x17babd335acda76f:0x9d557aade9da2cc2!8m2!3d6.0225393!4d37.5566122!16s%2Fg%2F11vc3v7ysc!19sChIJb6fNWjO9uhcRwiza6a16VZ0?authuser=0&hl=am&rclk=1,Google Maps
paradise Lodge Arba Minch,restaurants,Casual lodging with huts & a pool,4.1(419),,,,https://www.google.com/maps/place/paradise+Lodge+Arba+Minch/data=!4m10!3m9!1s0x17babc7f17edb3c5:0xeb9d63adf3dca777!5m2!4m1!1i2!8m2!3d6.0097718!4d37.5553594!16s%2Fg%2F1tfdt_q1!19sChIJxbPtF3-8uhcRd6fc861jnes?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tour And Travel,tour agency,የጉብኝት ኤጀንሲ · ,4.3(16),,,,https://www.google.com/maps/place/Arba+Minch+Tour+And+Travel/data=!4m7!3m6!1s0x17babb381a9c71e3:0xdf85df73ac26116a!8m2!3d6.0078288!4d37.5378658!16s%2Fg%2F11h0cwm1p4!19sChIJ43GcGji7uhcRahEmrHPfhd8?authuser=0&hl=am&rclk=1,Google Maps
Binu Ethiopia Tours,tour agency,tour agency,5.0(41),,,,https://www.google.com/maps/place/Binu+Ethiopia+Tours/data=!4m7!3m6!1s0x17babb6a3af0d02f:0xa1c2ee36bc02cf2c!8m2!3d6.0079281!4d37.5369781!16s%2Fg%2F11h_wxs_00!19sChIJL9DwOmq7uhcRLM8CvDbuwqE?authuser=0&hl=am&rclk=1,Google Maps
ARBA Minch Tour and Travel Association,tour agency,የጉብኝት ኤጀንሲ,4.9(19),,,,https://www.google.com/maps/place/ARBA+Minch+Tour+and+Travel+Association/data=!4m7!3m6!1s0x17babbbeb978e271:0xbdc71af72d35d75b!8m2!3d6.0069272!4d37.550214!16s%2Fg%2F11vzw6rq49!19sChIJceJ4ub67uhcRW9c1Lfcax70?authuser=0&hl=am&rclk=1,Google Maps
Antu South Route Ethio Tour,tour agency,የጉዞ ወኪል ·  · Sub-City,4.8(18),,,,https://www.google.com/maps/place/Antu+South+Route+Ethio+Tour/data=!4m7!3m6!1s0x17babdf026fe071b:0x9229204478876cb!8m2!3d6.0340068!4d37.5587813!16s%2Fg%2F11vz8ry_74!19sChIJGwf-JvC9uhcRy3aIRwSSIgk?authuser=0&hl=am&rclk=1,Google Maps
Haile Ethiopia tours,tour agency,አስጎብኚ ·  · Next to Lucy Restaurant,4.8(29),,,,https://www.google.com/maps/place/Haile+Ethiopia+tours/data=!4m7!3m6!1s0x17babbfcf5748d95:0xb1938cf66b0b7270!8m2!3d6.0223756!4d37.5529128!16s%2Fg%2F11glgph21k!19sChIJlY109fy7uhcRcHILa_aMk7E?authuser=0&hl=am&rclk=1,Google Maps
ARBA MINCH TARIK RIFT VALLEY TOUR,tour agency,አስጎብኚ ·  · ARBA MINTCH SCECHA,5.0(2),,,,https://www.google.com/maps/place/ARBA+MINCH+TARIK+RIFT+VALLEY+TOUR/data=!4m7!3m6!1s0x17babb457c9e6ccd:0x7ea6788f313a32bb!8m2!3d6.0081457!4d37.5387828!16s%2Fg%2F11fk81hb46!19sChIJzWyefEW7uhcRuzI6MY94pn4?authuser=0&hl=am&rclk=1,Google Maps
Driver guide Arbaminch,tour agency,አስጎብኚ · ,5.0(15),,,,https://www.google.com/maps/place/Driver+guide+Arbaminch/data=!4m7!3m6!1s0x17babd0d43145bc9:0x1ea81a98ab4b4600!8m2!3d6.0127611!4d37.5569166!16s%2Fg%2F11v0ms5nvf!19sChIJyVsUQw29uhcRAEZLq5gaqB4?authuser=0&hl=am&rclk=1,Google Maps
Omo Valley Adventure Tours,tour agency,የጉብኝት ኤጀንሲ · ,5.0(6),,,,https://www.google.com/maps/place/Omo+Valley+Adventure+Tours/data=!4m7!3m6!1s0x17babb659b60e351:0x6c52d4e61fb2551d!8m2!3d6.0053603!4d37.5462576!16s%2Fg%2F11h396d_96!19sChIJUeNgm2W7uhcRHVWyH-bUUmw?authuser=0&hl=am&rclk=1,Google Maps
Sol Eco Arbaminch Tour,tour agency,ምንም ግምገማዎች የሉም,N/A,,,,https://www.google.com/maps/place/Sol+Eco+Arbaminch+Tour/data=!4m7!3m6!1s0x17babdb631e9df07:0xf9a869705289c451!8m2!3d6.0349927!4d37.557322!16s%2Fg%2F11mywf60b_!19sChIJB9_pMba9uhcRUcSJUnBpqPk?authuser=0&hl=am&rclk=1,Google Maps
