name,types,categories,Google_Maps_link,Google_Maps_rating,TripAdvisor_link,TripAdvisor_rating,Bookingcom_link,Bookingcom_rating,Bookingcom_price,Bookingcom_address
Abissiniya HOTEL,motels,,https://www.google.com/maps/place/Abissiniya+HOTEL/data=!4m10!3m9!1s0x17babb9be8e2da69:0x8f71b2781a652a04!5m2!4m1!1i2!8m2!3d6.009968!4d37.5379623!16s%2Fg%2F11dzdh4ql6!19sChIJadri6Ju7uhcRBCplGniycY8?authuser=0&hl=en&rclk=1,4.5(2),,,,,,
Ezana international hotel,lodges,,https://www.google.com/maps/place/Ezana+international+hotel/data=!4m7!3m6!1s0x17babbf7e01c3c93:0xb5321b1b5b5a6cd1!8m2!3d6.0063326!4d37.5439008!16s%2Fg%2F11jt3w6d69!19sChIJkzwc4Pe7uhcR0WxaWxsbMrU?authuser=0&hl=en&rclk=1,3.8(19),,,,,,
Derik Hotel,lodges,,https://www.google.com/maps/place/Derik+Hotel/data=!4m7!3m6!1s0x17babb1e23a532b5:0xba918eb43b943548!8m2!3d6.0125081!4d37.5400914!16s%2Fg%2F11h2j6yh7j!19sChIJtTKlIx67uhcRSDWUO7SOkbo?authuser=0&hl=en&rclk=1,3.9(51),,,,,,
Heaven Guest House,"lodges, guest house, accommodation",,https://www.google.com/maps/place/Heaven+Guest+House/data=!4m10!3m9!1s0x17babd732e064f73:0xe12f2b48ed7d8d27!5m2!4m1!1i2!8m2!3d6.0216955!4d37.5587247!16s%2Fg%2F11x39c_4xy!19sChIJc08GLnO9uhcRJ4197UgrL-E?authuser=0&hl=en&rclk=1,5.0(38),,,https://www.booking.com/hotel/et/heaven-guest-house-arba-minch2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCG3NlYXJjaF9hcmJhIG1pbmNoLCBldGhpb3BpYUgzWARoR4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuNaQzQbAAgHSAiRmOWY0ZTBiZS0yOWEyLTQyMTctODE4Zi1lNWJlYzg5YWM4OGbYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-03-15&checkout=2026-03-16&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c84b54dc754100a4&srepoch=1772366653&all_sr_blocks=1582862201_429402719_2_0_0&highlighted_blocks=1582862201_429402719_2_0_0&matching_block_id=1582862201_429402719_2_0_0&sr_pri_blocks=1582862201_429402719_2_0_0__5680&from=searchresults,,US$57,Arba Minch
Rehoboth Guest House And pension,guest house,,https://www.google.com/maps/place/Rehoboth+Guest+House+And+pension/data=!4m7!3m6!1s0x17babca1ea443b21:0x8b43fee5d3a917d5!8m2!3d6.0306775!4d37.5575603!16s%2Fg%2F11c55rrdyc!19sChIJITtE6qG8uhcR1Rep0-X-Q4s?authuser=0&hl=en&rclk=1,4.5(10),,,,,,
Adis Bar & Restaurant,restaurants,,https://www.google.com/maps/place/Adis+Bar+%26+Restaurant/data=!4m7!3m6!1s0x17babd9fac5717cd:0xef613c8a76649989!8m2!3d6.0357436!4d37.558076!16s%2Fg%2F11kpstwdgd!19sChIJzRdXrJ-9uhcRiZlkdoo8Ye8?authuser=0&hl=en&rclk=1,4.6(10),,,,,,
Bro's እርጥብ,restaurants,Restaurant · Arba Minch University,https://www.google.com/maps/place/Bro%27s+%E1%8A%A5%E1%88%AD%E1%8C%A5%E1%89%A5/data=!4m7!3m6!1s0x17baa321ecd37bd3:0x18d7f70a8a587359!8m2!3d6.0673567!4d37.5635702!16s%2Fg%2F11m5y0gll4!19sChIJ03vT7CGjuhcRWXNYigr31xg?authuser=0&hl=en&rclk=1,4.7(10),,,,,,
Mamush & Mamy Fresh Fish,restaurants,,https://www.google.com/maps/place/Mamush+%26+Mamy+Fresh+Fish/data=!4m7!3m6!1s0x17babb340472840d:0x2c74208ad3671b72!8m2!3d6.0347102!4d37.5531119!16s%2Fg%2F11fs8s17nk!19sChIJDYRyBDS7uhcRchtn04ogdCw?authuser=0&hl=en&rclk=1,4.3(37),,,,,,
Dubusha Bar and Restaurant,restaurants,,https://www.google.com/maps/place/Dubusha+Bar+and+Restaurant/data=!4m7!3m6!1s0x17babd2af8b5dc9d:0x95cc95c7bda134c9!8m2!3d6.026241!4d37.5555999!16s%2Fg%2F11tcgq6db6!19sChIJndy1-Cq9uhcRyTShvceVzJU?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
Bobo Juice & Food,restaurants,"Jamaican · Secha, road",https://www.google.com/maps/place/Bobo+Juice+%26+Food/data=!4m7!3m6!1s0x17babb006e1006b3:0xc6d4ad83bf413a02!8m2!3d6.0121114!4d37.5407915!16s%2Fg%2F11vsypj813!19sChIJswYQbgC7uhcRAjpBv4Ot1MY?authuser=0&hl=en&rclk=1,4.9(46),,,,,,
